2	1	8074818	0.643
2	2	944454	0.949
2	3	464396	0.95
2	4	235516	0.965
2	5	134149	0.979
2	6	73855	0.929
2	7	41751	0.986
2	8	24375	0.992
2	12	3394	1.008
4	1	2714571	0.75
4	2	234488	0.9
4	3	64156	0.978
4	4	14018	0.931
4	5	3925	0.928
4	6	1047	0.976
4	7	348	0.961
4	8	119	0.987
4	12	3	0.868
5	1	1789728	0.751
5	2	137469	0.866
5	3	25652	0.969
5	4	4253	0.978
5	5	887	0.989
5	6	186	0.989
5	7	49	1.014
5	8	13	0.97
5	12	1	4.969
6	1	1227680	0.787
6	2	76380	0.839
6	3	11981	0.931
6	4	1397	0.98
6	5	237	0.974
6	8	2	1.01
6	10	1	13.544
6	12	1	15.544
