2	1	2000000	0.469
2	2	650000	1.539
2	3	210000	1.258
2	4	68000	0.893
2	5	25000	0.583
2	6	10000	0.44
2	7	4500	0.347
2	8	2000	0.272
2	12	180	0.152
4	1	600000	0.547
4	2	75000	1.636
4	3	11000	1.039
4	4	1500	0.526
4	5	270	0.354
4	6	50	0.261
4	7	15	0.246
4	8	5	0.182
4	12	1	0.427
5	1	380000	0.382
5	2	35000	1.229
5	3	3500	0.734
5	4	500	0.492
5	5	100	0.306
5	6	20	0.299
5	7	5	0.297
5	8	2	0.219
5	12	1	7.458
6	1	530000	0.468
6	2	12000	1.362
6	3	1500	0.692
6	4	200	0.447
6	5	30	0.334
6	6	5	0.341
6	7	1	0.327
6	8	1	0.734
6	9	1	2.727
6	10	1	9.775
6	11	1	30.837
6	12	1	96.031
