2	1	3300000	1.494
2	2	1200000	1.71
2	3	380000	1.302
2	4	180000	0.965
2	5	95000	0.717
2	6	50000	0.597
2	7	26000	0.52
2	8	15000	0.428
2	12	2500	0.301
4	1	1000000	3.788
4	2	180000	3.368
4	3	40000	2.54
4	4	7500	1.912
4	5	1900	1.674
4	6	450	1.442
4	7	150	1.484
4	8	50	1.196
4	12	1	3.378
5	1	740000	3.545
5	2	92000	3.203
5	3	14000	2.637
5	4	2000	2.68
5	5	300	2.189
5	6	70	2.518
5	7	15	2.785
5	8	5	2.178
5	12	1	19.294
6	1	1500000	5.095
6	2	100000	4.247
6	3	7000	3.596
6	4	640	3.306
6	5	90	3.169
6	6	12	3.843
6	7	2	4.15
6	8	1	10.223
6	9	1	46.258
6	10	1	163.517
6	11	1	546.161
6	12	1	1821.783
