2	1	65359477	1.063
2	2	16433854	3.135
2	3	11271416	3.701
2	4	6454816	3.589
2	5	4403131	3.757
2	6	2754821	3.491
2	7	1893939	3.583
2	8	1242751	3.257
2	12	327749	2.978
4	1	54869684	0.893
4	2	11183597	4.648
4	3	4878049	5.44
4	4	1460920	4.218
4	5	653595	4.417
4	6	265353	3.939
4	7	131810	3.95
4	8	62814	3.706
4	12	6696	3.417
5	1	54288817	0.98
5	2	8920607	5.325
5	3	2605863	5.088
5	4	754717	4.339
5	5	290698	4.463
5	6	99917	3.9
5	7	44074	3.979
5	8	18719	3.63
5	12	1292	3.385
6	1	50000000	0.995
6	2	7022472	5.259
6	3	2086811	5.952
6	4	439754	4.27
6	5	148515	4.495
6	8	6557	3.337
6	12	282	2.874
6	16	19	2.227
6	20	2	1.858
8	1	44523598	0.99
8	2	4185852	5.456
8	3	1013788	6.133
8	4	168691	4.512
8	5	1	2.608
8	8	1032	3.107
8	12	13	1.663
8	16	1	2.608
