500   1   1600    1.051272
2	1	16000000	1.051272
2	2	10000000	1.304505
2	3	7000000	1.410272
2	4	5000000	1.224878
2	5	3000000	1.305233
2	6	3000000	1.180619
2	7	2000000	1.321814
2	8	1500000	1.452896
2	12	800000	0.927417
4	1	10000000	1.687401
4	2	4400000	1.23048
4	3	2000000	1.355951
4	4	1000000	1.454691
4	5	600000	1.289094
4	6	300000	1.152396
4	7	200000	1.331903
4	8	150000	1.343106
4	12	40000	1.244082
5	1	10000000	1.321707
5	2	3000000	1.225768
5	3	1000000	1.147921
5	4	500000	1.103547
5	5	250000	1.10115
5	6	150000	1.180192
5	7	80000	1.177178
5	8	50000	1.240778
5	12	10000	1.419742
6	1	8000000	1.45118
6	2	2100000	1.213611
6	3	700000	1.256318
6	4	300000	1.241801
6	5	150000	1.291613
6	6	60000	1.103573
6	7	32000	1.093241
6	8	20000	1.207863
6	12	3500	1.390551
8	1	5000000	1.576881
8	2	1200000	1.320055
8	3	300000	1.357358
8	4	100000	1.345602
8	5	40000	1.404791
8	6	20000	1.367202
