2	1	50000000	1.215
2	2	20000000	1.051
2	3	12500000	1.197
2	4	6500000	1.124
2	5	4500000	1.12
2	6	3000000	1.2
2	7	2000000	1.628
2	8	1500000	1.001
2	12	450000	1.053
4	1	40000000	1.217
4	2	12000000	1.578
4	3	5000000	1.357
4	4	2000000	1.326
4	5	800000	1.999
4	6	350000	1.173
4	7	150000	1.432
4	8	75000	1.514
4	12	7500	1.462
5	1	50000000	1.194
5	2	10000000	1.095
5	3	4000000	1.427
5	4	1000000	1.681
5	5	300000	1.696
5	6	120000	1.83
5	7	45000	1.56
5	8	22500	1.362
5	12	1500	1.955
6	1	50000000	0.783
6	2	10000000	1.255
6	3	2500000	1.39
6	4	500000	1.001
6	5	150000	1.207
6	6	50000	1.09
6	7	20000	1.051
6	8	10000	1.158
6	12	350	1.33
8	1	40000000	1.886
8	2	6000000	1.745
8	3	1100000	1.489
8	4	200000	1.119
8	5	50000	1.802
8	6	15000	1.54
